title,release_date,genres,language,description,poster_path,tagline,runtime,rating,vote_count,movieId
Se7en,1995-09-22,Crime|Mystery|Thriller,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,Seven deadly sins. Seven ways to die.,127.0,8.376,21883.0,11
The Usual Suspects,1995-07-19,Drama|Crime|Thriller,en,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",https://image.tmdb.org/t/p/w500/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,Five criminals. One line up. No coincidence.,106.0,8.174,10769.0,12
Mighty Aphrodite,1995-09-13,Comedy|Romance,en,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",https://image.tmdb.org/t/p/w500/ice135yQZp4iX2SgCmd90nKgS5j.jpg,"Of all human weaknesses, obsession is the most dangerous, and the silliest!",95.0,6.725,710.0,13
The Postman,1994-04-07,Comedy|Drama|Romance,it,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,https://image.tmdb.org/t/p/w500/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,Dreams do come true.,109.0,7.9,1165.0,14
Mr. Holland's Opus,1995-12-29,Drama|Music,en,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",https://image.tmdb.org/t/p/w500/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,"Of all the lives he changed, the one that changed the most was his own.",143.0,7.0,430.0,15
French Twist,1995-01-18,Comedy|Romance,fr,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",https://image.tmdb.org/t/p/w500/xlLnHizshGBwMiNrnop2kg2nYzE.jpg,A scorned wife. An outrageous affair. The perfect revenge.,95.0,6.067,312.0,16
From Dusk Till Dawn,1996-01-19,Horror|Action|Thriller|Crime,en,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",https://image.tmdb.org/t/p/w500/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,One night is all that stands between them and freedom. But it's going to be a hell of a night.,108.0,7.027,6135.0,17
The White Balloon,1995-01-02,Drama|Family,fa,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,https://image.tmdb.org/t/p/w500/u6jrlgZZx3zSFPDPTVOYpueljgH.jpg,,85.0,7.5,96.0,18
Antonia's Line,1995-09-21,Drama|Comedy,nl,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",https://image.tmdb.org/t/p/w500/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg,A motion picture that celebrates everything you love about life.,102.0,7.0,130.0,19
Angels and Insects,1995-09-10,Drama|Romance,en,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",https://image.tmdb.org/t/p/w500/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,An elegant seduction. An erotic deception. A stunning revelation.,118.0,6.3,51.0,20
Muppet Sing Alongs: Muppet Treasure Island,1996-02-14,Family|Music,en,"Muppet Sing Alongs: Muppet Treasure Island is a 1996 video produced just before the release of the feature film Muppet Treasure Island. Kermit is joined by Polly Lobster, Clueless Morgan, Mad Monty and the other pirates from Muppet Treasure Island in this half hour of pirate songs.",https://image.tmdb.org/t/p/w500/ifGLSfxgl08jXFItoxZgviC1QXi.jpg,,28.0,6.0,1.0,21
Braveheart,1995-05-24,Action|Drama|History|War,en,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg,"Every man dies, not every man really lives.",177.0,7.943,10494.0,22
Taxi Driver,1976-02-09,Crime|Drama,en,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"On every street in every city, there's a nobody who dreams of being a somebody. He's a lonely forgotten man desperate to prove that he's alive.",114.0,8.135,12763.0,23
Rumble in the Bronx,1995-01-21,Crime|Action|Comedy|Thriller,cn,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.",https://image.tmdb.org/t/p/w500/1nAfchiXHQB3iyhK8fCJJEnNs5A.jpg,No Fear. No Stuntman. No Equal.,106.0,6.821,1079.0,24
The Birdcage,1996-03-08,Comedy,en,"Middle-aged gay life partners, Armand Goldman, a Jewish drag club owner, and Albert, the club's flamboyant star attraction, live in the eclectic community of South Beach and have raised a straight son. Now, their newly engaged son, 20-year-old Val, wants to bring his fiancée, Barbara, and her ultraconservative parents home to meet his family for the first time. By Val's request, Armand pretends to be straight, not Jewish and attempts to hide his relationship with Albert, in order to please Barbara's father, controversial right-wing Republican Sen. Kevin Keeley.",https://image.tmdb.org/t/p/w500/hU2XeckncHS61TWZKDtw1BrKmOO.jpg,Come as you are.,119.0,7.042,1222.0,25
The Brothers McMullen,1995-08-09,Comedy|Drama|Romance,en,"Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s. Directed, written, produced by and starring Edward Burns.",https://image.tmdb.org/t/p/w500/6oWsOJP0ed5gs8n2UywcailoxFN.jpg,Sometimes the Best Friends Are the Ones You've Known Your Whole Life.,98.0,6.049,92.0,26
Bad Boys,1995-04-07,Action|Comedy|Crime|Thriller,en,"Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",https://image.tmdb.org/t/p/w500/qKiLKvJaT6rRmd3IBsoVV58luXH.jpg,Whatcha gonna do?,119.0,6.821,6617.0,27
Apollo 13,1995-06-30,Drama|History,en,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",https://image.tmdb.org/t/p/w500/tVeKscCm2fY1xDXZk8PgnZ87h9S.jpg,"""Houston, we have a problem.""",140.0,7.448,5562.0,28
Batman Forever,1995-06-16,Action|Crime|Fantasy,en,"In the looming shadows of Gotham City, two villainous souls devise twin schemes of revenge against the city's dark guardian. Two-Face, disfigured by chance and fueled by vengeance, is obsessed with destroying Batman, while the Riddler, a disillusioned genius, pursues the destruction of billionaire Bruce Wayne. Together they've hatched a plot to absorb and control the minds of all of Gotham City's residents, and only Batman and his new partner, Robin, can stop them! But the Dark Knight is hindered by a mystery from his own childhood. He must hope that a new found love can help him overcome the incident that made him what he is. In the end, he must decide: will he be Batman—forever?",https://image.tmdb.org/t/p/w500/i0fJS8M5UKoETjjJ0zwUiKaR8tr.jpg,"Courage now, truth always, Batman forever!",121.0,5.439,5322.0,29
Belle de Jour,1967-05-24,Drama|Romance,fr,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",https://image.tmdb.org/t/p/w500/iUAFECovwPA0cVV9bo4uNGLJSGL.jpg,Luis Bunuel's Masterpiece of Erotica!,101.0,7.321,955.0,30
Crimson Tide,1995-05-12,Thriller|Action|Drama|War,en,"After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsey insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him.",https://image.tmdb.org/t/p/w500/21nqRJ6ofEgVvEl68J4O9V26Xzy.jpg,Danger runs deep.,116.0,7.181,1849.0,31
Crumb,1994-09-10,Documentary,en,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, ex-wife and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",https://image.tmdb.org/t/p/w500/9ocTHdBCJdwJ65Tubg3lYlfMxEY.jpg,Weird sex · Obsession · Comic books,120.0,7.5,262.0,32
Desperado,1995-08-25,Thriller|Action|Crime,en,"El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his army of desperados, and leaves his own trail of blood.",https://image.tmdb.org/t/p/w500/e3gwpBeXpvGZsxUya9zNym5QXrw.jpg,He came back to settle the score with someone. Anyone. EVERYONE.,104.0,6.927,2958.0,33
The Doom Generation,1995-10-20,Comedy|Crime|Drama,en,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts.",https://image.tmdb.org/t/p/w500/f2qIJm1bWqTycNUZMVxLBW1tN1w.jpg,Sex. Violence. Whatever.,83.0,6.493,279.0,34
Free Willy 2: The Adventure Home,1995-07-19,Family|Adventure|Drama|Comedy,en,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,https://image.tmdb.org/t/p/w500/3wpug3W5rYBdqeAnhc1UeXLE5ZF.jpg,The adventure is back. The fun is back. Willy's back. And this time he's brought his whole family to meet an old friend ... and take on a new challenge.,95.0,5.938,596.0,35
Mad Love,1995-05-26,Drama|Romance,en,"Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided.",https://image.tmdb.org/t/p/w500/glhctWoYw1jg8z0FUSwFD4UTNi4.jpg,A wild and sexy adventure!,95.0,5.212,113.0,36
Nadja,1995-09-01,Horror|Thriller,en,"In a contemporary New York City, members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.",https://image.tmdb.org/t/p/w500/sIZl6Oy5nn4kHKHamX50tSPF4Ob.jpg,Unseen. Unforgiving. Undead.,93.0,5.7,52.0,37
The Net,1995-07-28,Crime|Drama|Mystery|Thriller|Action,en,"Angela Bennett is a freelance computer systems analyst who tracks down software viruses. At night she hooks up to the internet and chats to others 'surfing the net'. While de-bugging a new high-tech game for a cyber friend, she comes across a top secret program and becomes the target of a mysterious organization who will stop at nothing to erase her identity and her existence, in order to protect the project.",https://image.tmdb.org/t/p/w500/dtupntUFMD5iXBo8HLfALt2ET4R.jpg,Her driver's license. Her credit cards. Her bank accounts. Her identity. DELETED.,114.0,6.024,1415.0,38
Strange Days,1995-10-13,Crime|Drama|Science Fiction|Thriller,en,"Former policeman Lenny Nero has moved into a more lucrative trade: the illegal sale of virtual reality-like recordings that allow users to experience the emotions and past experiences of others. While they typically contain tawdry incidents, Nero is shocked when he receives one showing a murder.",https://image.tmdb.org/t/p/w500/rY5BrDRcYAKE0BYmmT66YG6Uy5Q.jpg,You Know You Want It,145.0,7.0,1412.0,39
"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-08,Comedy|Drama,en,"Manhattan drag queens Vida Boheme and Noxeema Jackson impress regional judges in competition, securing berths in the Nationals in Los Angeles. When the two meet pathetic drag novice Chi-Chi Rodriguez — one of the losers that evening — the charmed Vida and Noxeema agree to take the hopeless youngster under their joined wing. Soon the three set off on a madcap road trip across America and struggle to make it to Los Angeles in time.",https://image.tmdb.org/t/p/w500/xlRhO3TzTxCFn2s9LEcVi7s582t.jpg,Attitude is everything.,109.0,7.372,699.0,40
Billy Madison,1995-02-10,Comedy,en,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",https://image.tmdb.org/t/p/w500/1XV42Zu9taxluIKXMeV9OSpYCSq.jpg,"To inherit his family's fortune, Billy is going back to school... Way back.",90.0,6.182,1694.0,41
Clerks,1994-10-19,Comedy,en,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",https://image.tmdb.org/t/p/w500/9IiSgiq4h4siTIS9H3o4nZ3h5L9.jpg,Just because they serve you doesn't mean they like you.,92.0,7.387,2592.0,42
Disclosure,1994-12-09,Thriller|Drama|Crime,en,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",https://image.tmdb.org/t/p/w500/dnA4QkIZZCF9wRtF8HHxWwUXVMf.jpg,Sex Is Power.,128.0,6.254,1210.0,43
Dolores Claiborne,,,,,,,,,,44
Eat Drink Man Woman,1994-08-03,Comedy|Drama|Romance,zh,"Retired and widowed Chinese master chef Chu lives in modern day Taipei, with his three attractive daughters, all of whom are unattached. Soon, each daughter encounters a new man in their lives. When these new relationships blossom, stereotypes are broken and the living situation within the family changes.",https://image.tmdb.org/t/p/w500/olhIWtIBFg6VWK59DEd4lAvgVgz.jpg,A comedy to arouse your appetite.,123.0,7.617,363.0,45
Exotica,1994-09-29,Drama,en,"In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's female owner. Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives.",https://image.tmdb.org/t/p/w500/pWcJdcIHjL3P6NaEJKeV6ONfAMV.jpg,"In a world of temptation, obsession is the deadliest desire.",104.0,6.608,362.0,46
Ed Wood,1994-09-28,Comedy|Drama|History,en,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",https://image.tmdb.org/t/p/w500/2jjFN4BtTSz01J3ZD4iYjf26pWX.jpg,Movies were his passion. Women were his inspiration. Angora sweaters were his weakness.,127.0,7.491,2393.0,47
Hoop Dreams,1994-09-12,Documentary,en,"Every school day, African-American teenagers William Gates and Arthur Agee travel 90 minutes each way from inner-city Chicago to St. Joseph High School in Westchester, Illinois, a predominately white suburban school well-known for the excellence of its basketball program. Gates and Agee dream of NBA stardom, and with the support of their close-knit families, they battle the social and physical obstacles that stand in their way. This acclaimed documentary was shot over the course of five years.",https://image.tmdb.org/t/p/w500/gLzHl2XBtVwycl8DxdOXRHPm8G3.jpg,An Extraordinary True Story.,174.0,7.596,314.0,48
I.Q.,1994-12-24,Comedy|Drama|Romance,en,Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.,https://image.tmdb.org/t/p/w500/1dLR9LX4O8DSyaU5OR3N0472IR.jpg,"With Einstein as Cupid, what could possibly go wrong?",100.0,6.027,463.0,49
Star Wars,1977-05-25,Adventure|Action|Science Fiction,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,"A long time ago in a galaxy far, far away...",121.0,8.2,21328.0,50
Legends of the Fall,1994-12-23,Drama|Western|Romance|War|Action,en,"In early 20th-century Montana, Col. William Ludlow lives on a ranch in the wilderness with his sons, Alfred, Tristan, and Samuel. Eventually, the unconventional but close-knit family are bound by loyalty, tested by war, and torn apart by love, as told over the course of several decades in this epic saga.",https://image.tmdb.org/t/p/w500/t1KPGlW0UGd0m515LPQmk2F4nu1.jpg,After the Fall from Innocence the Legend begins.,133.0,7.395,2685.0,51
The Madness of King George,1994-12-28,Comedy|Drama|History,en,"Aging King George III of England is exhibiting signs of madness, a problem little understood in 1788. As the monarch alternates between bouts of confusion and near-violent outbursts of temper, his hapless doctors attempt the ineffectual cures of the day. Meanwhile, Queen Charlotte and Prime Minister William Pitt the Younger attempt to prevent the king's political enemies, led by the Prince of Wales, from usurping the throne.",https://image.tmdb.org/t/p/w500/1dTSY023ZyBbgVSKDRuA6JLGSnZ.jpg,His Majesty was all powerful and all knowing. But he wasn't quite all there.,107.0,6.8,244.0,52
Natural Born Killers,1994-08-26,Crime|Thriller|Drama,en,Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.,https://image.tmdb.org/t/p/w500/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg,The media made them superstars.,118.0,7.061,3542.0,53
Outbreak,1995-03-10,Action|Drama|Science Fiction|Thriller,en,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col. Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",https://image.tmdb.org/t/p/w500/4KymNvlWR0XF0sqX2BWRd9Z3yXR.jpg,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,127.0,6.568,2342.0,54
Léon: The Professional,1994-09-14,Crime|Drama|Action,fr,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",https://image.tmdb.org/t/p/w500/bxB2q91nKYp8JNzqE7t7TWBVupB.jpg,"If you want the job done right, hire a professional.",111.0,8.301,15320.0,55
Pulp Fiction,1994-09-10,Thriller|Crime|Comedy,en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,Violence. Redemption. Cheeseburgers,154.0,8.488,28879.0,56
Priest,1995-03-24,Drama|Romance,en,The deeply held religious convictions of an idealistic young priest are challenged when he must face extraordinary events within his own congregation.,https://image.tmdb.org/t/p/w500/yCZ2eGJb78HzaYthNwVF8R0G6BG.jpg,"In a world of rituals, in a place of secrets, a man must choose between keeping the faith and exposing the truth.",99.0,6.322,138.0,57
Quiz Show,1994-08-25,History|Drama|Mystery,en,"Herbert Stempel's transformation into an unexpected television personality unfolds as he secures victory on the cherished American game show, 'Twenty-One.' However, when the show introduces the highly skilled contestant Charles Van Doren to replace Stempel, it compels Stempel to let out his frustrations and call out the show as rigged. Lawyer Richard Goodwin steps in and attempts to uncover the orchestrated deception behind the scenes.",https://image.tmdb.org/t/p/w500/yoGJo1h3Hl2exXPVcG9UXWDENtX.jpg,Fifty million people watched but no one saw a thing.,133.0,7.254,932.0,58
Three Colors: Red,1994-05-12,Drama|Mystery|Romance,fr,"Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls.",https://image.tmdb.org/t/p/w500/JHmsBiX1tjCKqAul1lzC20WcAW.jpg,The invisible thread of destinies.,100.0,7.909,1454.0,59
Three Colors: Blue,1993-09-08,Drama,fr,"The wife of a famous composer survives a car accident that kills her husband and daughter. Now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected.",https://image.tmdb.org/t/p/w500/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg,,98.0,7.651,1763.0,60
Three Colors: White,1994-01-26,Comedy|Drama|Mystery,fr,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him back to their homeland.",https://image.tmdb.org/t/p/w500/fdIet3NSa27gobMbaUml66oCQNT.jpg,,92.0,7.45,1240.0,61
Stargate,1994-10-28,Action|Adventure|Science Fiction,en,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",https://image.tmdb.org/t/p/w500/4T6Po0XnZlevmhfPh3ZfEs5butR.jpg,It will take you a million light years from home. But will it bring you back?,121.0,7.009,3555.0,62
The Santa Clause,1994-11-11,Fantasy|Drama|Comedy|Family,en,"On Christmas Eve, divorced dad Scott Calvin and his son discover Santa Claus has fallen off their roof. When Scott takes the reins of the magical sleigh, he finds he is now the new Santa, and must convince a world of disbelievers, including himself.",https://image.tmdb.org/t/p/w500/hvV2rI60qOYELT7tHHLpxtafnBZ.jpg,"This Christmas, the snow hits the fan.",97.0,6.497,2140.0,63
The Shawshank Redemption,1994-09-23,Drama|Crime,en,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,Fear can hold you prisoner. Hope can set you free.,142.0,8.712,28573.0,64
